,station,thZ_d,thal_lat,Z_beto,W_L_beto,W_R_beto,Z_vfe,W_L_vfe,W_R_vfe
0,0.0,-0.1788316513642485,-0.9469658874565978,-0.35331173061092613,2.486911538512217,-0.5929797635990213,-1.0161656344831727,2.8639514660206773,-2.2848433206506584
1,1.0,-0.2239429228957306,-0.875988193080616,-0.39940530237811345,2.3504235339609605,-0.5984471477997283,-1.0551329186782823,2.7136548989174636,-2.2531810698220123
2,2.0,-0.2599652508494046,-0.808162254520394,-0.43640993056760635,2.22305522167514,-0.6067307126343521,-1.0850112592954702,2.5857272741927977,-2.21708846742044
3,3.0,-0.2863124791846303,-0.7439212240631633,-0.4637394591384236,2.107020233304333,-0.6191777851780064,-1.1052145002942098,2.4781269745653205,-2.176152675591923
4,4.0,-0.3023984518603129,-0.683698253996155,-0.4808077320499251,2.004532200498116,-0.6371356925058059,-1.1151564856334062,2.3888123827536707,-2.1299608564824473
5,5.0,-0.30763701283581213,-0.6279264966066004,-0.48702859326112957,1.917804754906066,-0.6619517616928653,-1.114251059272533,2.3157418814764883,-2.078100172237996
6,6.0,-0.3014420060704879,-0.5770391041817308,-0.48181588673151055,1.84905152817776,-0.6949733198142983,-1.1019120651707226,2.2568738534524124,-2.020157785004552
7,7.0,-0.2826478185415908,-0.531387164811537,-0.4640039994384324,1.8001235031150316,-0.7373491734919574,-1.076973890305453,2.2119005480555542,-1.9542039295451232
8,8.0,-0.2442480710608379,-0.4898821621775759,-0.426586552193271,1.7661545813499178,-0.7863902569947658,-1.0324301554881004,2.2024944324784217,-1.8616878438760072
9,9.0,-0.19022860878465053,-0.4516267024176169,-0.3735493901527889,1.7423308765596486,-0.8390774717244149,-0.9722667058755405,2.2274786254568966,-1.7498671815703386
10,10.0,-0.12817209194656698,-0.4160608574478194,-0.31247517355052423,1.7252300376148941,-0.8931083227192554,-0.9040662017009709,2.2761779756552474,-1.6350419014789441
11,11.0,-0.06566118077887495,-0.3826246991843425,-0.2509465626185374,1.711429713386325,-0.94618031501764,-0.8354113031969064,2.337917331737742,-1.5335119624526494
12,12.0,-0.010278535514203213,-0.3507582995433456,-0.19654621758957092,1.6975075527446104,-0.9959909536579192,-0.7738846705957485,2.4020215423686495,-1.4615773233422824
13,13.0,0.030393183614478403,-0.3199017304409879,-0.15685679869659452,1.6800412045604212,-1.0402377436784453,-0.7270689641305808,2.457815456212238,-1.4355379429986697
14,14.0,0.0516955909721446,-0.2886817848109584,-0.13653669157463355,1.6559217264073234,-1.0785581567854066,-0.6996225694365421,2.500550138184819,-1.4623325626899386
15,15.0,0.06357204629182434,-0.2542023134538465,-0.12564253649077273,1.6259994612648836,-1.1175948343571906,-0.6816021267803762,2.5488785945535852,-1.5073627814314998
16,16.0,0.07006656527755695,-0.2186384118766755,-0.12013031774074534,1.593728883631219,-1.1564520598778678,-0.6689636204582712,2.601132411421605,-1.5619522464766598
17,17.0,0.07391056955646036,-0.1847174435604468,-0.11726861369754715,1.56260041290826,-1.1931655257873663,-0.6589756288428816,2.6525265586182036,-1.6220105302689403
18,18.0,0.07783548075542512,-0.1551667719861618,-0.1143260027344013,1.536104468497939,-1.2257709245256154,-0.6489067303075444,2.6982760059727067,-1.6834472052518639
19,19.0,0.08457272050054598,-0.1327137606348221,-0.10857106322487198,1.5177314698021878,-1.2523039485325436,-0.6360255032258237,2.7335957233144352,-1.7421718438689524
20,20.0,0.09685371041871349,-0.1200857729874289,-0.09727237354252338,1.510971836222938,-1.2708002902480802,-0.6176005259712838,2.753700680472715,-1.7940940185637275
21,21.0,0.1163129273420509,-0.1302406537023259,-0.0787954568548912,1.5380020441188573,-1.2775207367142054,-0.5919973217114602,2.767690269300202,-1.8274310029177792
