,station,thZ_d,thal_lat,Z_ac,W_L_ac,W_R_ac,Z_beto,W_L_beto,W_R_beto,Z_vfe,W_L_vfe,W_R_vfe
0,0.0,0.25640691718240305,-2.46807581009179,-1.0532283653074046,7.87097131495364,-3.3990145350359917,-0.6766189645404665,7.778071712236752,-2.841920092053172,-7.654573470070886,25.671084499172782,-17.84055020334878
1,1.0,0.22032626216332574,-2.297846156962021,-1.0852798440724882,7.69921084592534,-3.5665418600641727,-0.7089480984952843,7.606816283550391,-3.0111239696263494,-7.687843705987348,25.2643328104367,-18.15617909827123
2,2.0,0.18582001958452565,-2.130700494276866,-1.1157569103970673,7.527582730072343,-3.7257890909952267,-0.7397028200098248,7.436645678473965,-3.1752446899202327,-7.719539529463418,24.869395839824666,-18.46606021745142
3,3.0,0.1529420951959537,-1.9670037006579744,-1.1446056585316455,7.356616837807927,-3.8767041780335045,-0.7688292233341372,7.26800335204687,-3.3339959507309214,-7.749607034749374,24.48736561097725,-18.769032206326273
4,4.0,0.12174639474778814,-1.8071206547269945,-1.1717721827257037,7.186843039545364,-4.0192350713833545,-0.7962734027180431,7.1013327593085105,-3.487091449854521,-7.777992316094924,24.119334147535028,-19.063933710332705
5,5.0,0.09228682399009358,-1.6514162351055754,-1.197202577229291,7.018791205697931,-4.153329721249129,-0.8219814524114781,6.937077355298284,-3.634244885087133,-7.8046414677500024,23.766393473138592,-19.349603374907655
6,6.0,0.06461728867270722,-1.5002553204153677,-1.22084293629257,6.852991206678906,-4.278936077835171,-0.8458994666646049,6.775680595055594,-3.7751699542248587,-7.829500583964659,23.429635611428527,-19.62487984548804
7,7.0,0.03879169454626208,-1.3540027892780198,-1.2426393541650214,6.689972912901563,-4.396002091345833,-0.8679735397267905,6.617585933619841,-3.909580355063801,-7.852515758988488,23.110152586045412,-19.88860176751078
8,8.0,0.014863947360140628,-1.2130235203151811,-1.2625379250971491,6.530266194779178,-4.504475711985465,-0.888149765848766,6.463236826030425,-4.037189785400063,-7.873633087071994,22.80903642062983,-20.1396077864128
9,9.0,-0.007112047135706234,-1.0776823921485008,-1.280484743338775,6.374400922725027,-4.604304889958414,-0.9063742392802396,6.313076727326746,-4.157711943029745,-7.892798662465111,22.527379138822365,-20.376736547631044
10,10.0,-0.0270823831905318,-0.9483442833996288,-1.2964259031396068,6.222906967152388,-4.695437575469028,-0.9225930542708056,6.167549092548208,-4.270860525748951,-7.909958579417321,22.266272764263597,-20.598826696602416
11,11.0,-0.04499315505472623,-0.825374072690214,-1.3103074987496939,6.076314198474534,-4.7778217187216585,-0.9367523050707405,6.0270973767342095,-4.376349231353782,-7.925058932178899,22.02680932059411,-20.80471687876385
12,12.0,-0.06079045697822494,-0.7091366386419056,-1.3220756244190852,5.935152487104742,-4.851405269920652,-0.9487980859299796,5.892165034924152,-4.473891757640341,-7.938045814999782,21.81008083145449,-20.993245739552265
13,13.0,-0.07442038321107702,-0.5999968598763528,-1.33167637439783,5.799951703456289,-4.91613617927036,-0.9586764910985721,5.763195522157437,-4.5632018024047305,-7.948865322129905,21.617179320485317,-21.163251924404598
14,14.0,-0.08582902800287684,-0.4983196150152055,-1.339055842935636,5.671241717942448,-4.971962396975129,-0.9663336148261124,5.640632293473463,-4.643993063443053,-7.9574635478190885,21.449196811327177,-21.313574078757764
15,15.0,-0.09496248560401455,-0.4044697826801122,-1.3441601242826664,5.549552400976499,-5.01883187323931,-0.9717155513631042,5.524918803911635,-4.71597923855141,-7.96378658631761,21.30722532762065,-21.443050848048685
16,16.0,-0.10176685026419818,-0.3188122414927227,-1.3469353126887427,5.435413622971716,-5.056692558267251,-0.9747683949589145,5.416498508511349,-4.778874025525903,-7.967780531875064,21.19235689300632,-21.5505208777143
